id,content
11,"혼란스럽습니다.
다섯 살 현기는 자기가 하고 싶은 것만 하려고 합니다. 사고 싶은 과자나
장난감을 안 사주면 길바닥에 누워 뒹굴고 집에서는 종일 컴퓨터 게임만 하
느라 밥도 잘 안 먹습니다. 달래도 보고, 을러도 보고, 애원도 하다가 안되
면 아빠가 나서서 심하게 때려도 그때 뿐입니다. 현기 엄마는 하루하루 지쳐
가는 자신이 부모로서 무능한 것 같아 속상하고 우울합니다.
네 살 준희는 덩치만 컸지 하는 짓은 너무 어린애 같아서 준희 엄마는 화
가 납니다. 준희는 유치원에서도 다른 아이들과 어울리지 못하고 선생님만
따라다니고 활동에 참여하지 않고 혼자 겉돈다고 합니다. 키가 크고 힘이
세기 때문에 화가 나면 다른 아이들을 때리거나 밀치기도 해서 다른 아이들
도 준희를 싫어하고 피한다고 합니다. 준희 엄마는 제멋대로 행동하는 준희
가 왜 그런지 도무지 이해가 안 되고, 말보다 매가 앞서는 자신이 싫고, 유치
원에서 돌아올 시간이 되면 또 어떻게 준희와 힘든 시간을 보내야 할지 가슴"
12,"원에서 돌아올 시간이 되면 또 어떻게 준희와 힘든 시간을 보내야 할지 가슴
이 답답하고 준희에게 말이나 행동으로 상처를 주게 될까봐 스스로 두렵기
까지 하다고 합니다.
위의 세 사례는 제가 EBS <60분 부모>에서 직접 상담을 했었고 실제로
우리 주변에서 흔히 볼 수 있는 아이들과 부모님들의 모습입니다. 비슷한 경
험을 겪은 부모들은 방송을 보시고 바로 우리 집 이야기""라고 공감하고 많
은 전화와 메일로 소감을 보내오셨습니다.
상담 받은 지 한 달 뒤에 제작팀은 사례자들의 집으로 다시 찾아갔습니
다. 혜민이 표정이 밝고 학교에 잘 다니고, 현기는 컴퓨터 없이도 즐겁게 잘
지내며 밥도 고루 잘 먹고 엄마도 많이 편해진 모습이었습니다. 준희 엄마는
이제야 행복이 뭔지 알겠다며 준희 역시 순하고 즐거운 모습이었습니다.
무엇이 이렇게 빠른 변화를 일으키고 부모님이 원하던 대로 아이들이 달
라지고 부모로서 효능감과 자존감, 행복감을 되찾게 해주었을까요? 저는 이"
13,"라지고 부모로서 효능감과 자존감, 행복감을 되찾게 해주었을까요? 저는 이
세 사례자 부모님들께 모두 감정코칭을 가르쳐 드렸습니다. 이 분들 외에 수
많은 부모님들, 아이들, 학생들, 교사들, 상담사들께 감정코칭은 아이와 행
복하게 지내며 함께 성장하는 필수 도구라고 알려 드립니다. 이 책은 바로
036 내 아이를 위한 감정코칭
PART 1 감정을 잘 다루는 아이가 행복하다
037
자해 또는 타해와 같이 극단적인 행동을 할 때
아이들은 대개 감정을 조절하는 능력이 부족합니다. 그래서 격한 감정을 보
일 때일수록 더욱 세심하게 감정을 읽어주고 공감해주어야 하지만 너무 도
가 지나칠 때는 감정코칭을 해서는 안 됩니다.
여덟 살 민철이는 평소에는 얌전하지만 한번 성질이 나면 헐크처럼 공격
적으로 변합니다. 민철이가 헐크처럼 변할 때는 주로 놀림을 당할 때입니다.
그 또래 아이들은 대개 이름보다 별명을 많이 부르는데, 민철이는 방귀쟁"
14,"그 또래 아이들은 대개 이름보다 별명을 많이 부르는데, 민철이는 방귀쟁
이'라는 별명을 들으면 참지 못합니다. 속이 좋지 않아 방귀를 많이 뀌는 편
인데, 민철이 자신도 시도 때도 없이 방귀를 뀌는 게 싫습니다. 그래서인지
방귀쟁이'라는 말만 들으면 죽일 듯이 달려듭니다.
그날도 친구 한 명이 민철이에게 ""민철이는 방귀쟁이래요. 방귀쟁이...""
라며 놀렸습니다. 처음 한두 번은 얼굴이 빨개져서 그만하라고 했는데, 친
구가 계속 하자 갑자기 달려들어 팔을 물었습니다. 어찌나 세게 물었는지
간신히 떼어놓고 보니 친구 팔뚝에 이 자국이 선명했습니다.
싫어하는 별명을 자꾸 부르는 친구가 밉고 화가 나는 민철이의 감정은 충
분히 이해할 수 있습니다. 하지만 감정이 너무 격해 친구의 팔을 물어뜯는
것처럼 남을 해치는 행동을 할 때는 단호하게 대처해야 합니다. 아이의 감정
을 읽어주는 것보다 두 아이의 안전에 우선순위를 두고 둘을 떼어놓아야 합
니다."
15,"을 읽어주는 것보다 두 아이의 안전에 우선순위를 두고 둘을 떼어놓아야 합
니다.
부모가 자신의 목적을 달성하려는 의도가 있을 때
부모가 자신이 원하는 방향으로 아이를 끌고 가고자 감정코칭을 이용하는
경우도 많습니다. 아이가 피아노 치기가 싫다며 학원에 가지 않겠다고 할
때, “우리 준영이가 피아노 치기가 싫구나""라고 감정을 읽어주면서도 ""그래
도준영이가 학원에 가지 않으면 선생님이 우리 준영이 보고 싶어 할 텐데""
또는 ""우리 준영이 피아노 참 잘 치는데…”라고 살살 달래 피아노를 치도록
유도합니다.
아이도 부모가 정말 자기감정을 읽어주는 것인지, 아니면 어떤 다른 의도
를 가지고 감정을 읽어주는 척하는 것인지 다 압니다. 저 어린아이가 뭘 알
까 하고 무시하며 부모 의도대로 아이를 끌고 가려다간 오히려 신뢰감을 잃
을 수 있습니다. 즉 아이가 부모의 다른 좋은 행동들마저도 자신을 조종하려
는 의도가 담긴 것은 아닌지 오해할 수 있다는 것입니다. 또한 감정코칭에서"
16,"는 의도가 담긴 것은 아닌지 오해할 수 있다는 것입니다. 또한 감정코칭에서
얻고자 하는 자발적이고 순수한 자아 성장과는 반대로 타의적이고 고의적인
기만과 불신을 키울 수 있습니다.
감정코칭은 진정성을 담보로 합니다. 진정으로 아이의 마음을 읽어주려
고 노력해야 아이의 마음이 열리고, 아이 스스로 감정을 조절하는 방법을 배
울 수 있습니다. 뻔히 보이는 의도를 가지고 감정코칭을 한다면, 아이는 부
모가 감정코칭을 하려고 할 때마다 거부감이 들고 거짓말을 하거나 회피하
려고 할 것입니다.
아이가 거짓 감정을 꾸며댈 때
아이도 가끔은 자기감정을 위장합니다. 얼마나 그럴듯하게 감정을 위장하는
지 어른들이 깜빡 속아 넘어갈 때도 많습니다. 하지만 그 자체를 심각하게 생
각할 필요는 없습니다. 거짓 감정을 꾸미거나 거짓말을 하는 것도 다 아이가
226 내 아이를 위한 감정코칭
PART4 아이와 교감하는 감정코칭 5단계
227
성장하면서 자연스럽게 겪는 과정 중 하나입니다."
17,"227
성장하면서 자연스럽게 겪는 과정 중 하나입니다.
아이가 거짓 감정을 꾸밀 때는 감정코칭을 해서는 안 됩니다. 거짓 감정
에 속아 그 감정을 공감해주면, 아이가 진솔한 감정을 느끼고 경험할 기회를
[상실합니다. 아이가 거짓말을 하거나 거짓 감정을 꾸며댈 때는 단호하게 대
응해야 합니다. 그래야 습관화되지 않습니다.
아홉 살 호영이는 거짓말을 밥 먹듯 해서 부모의 애간장을 태웁니다. 숙제
다 하고 놀라고 하면 ""네"" 하고 방으로 들어가 10분도 안 돼 나옵니다. ""숙제
다 했어?"" 하고 물으면, 천연덕스럽게 ""네"" 하고 밖에 나가려 합니다. 확인을
해보면 아니나 다를까 거짓말을 한 것입니다. 거짓말이 들통 날 때마다 따끔
하게 혼을 냅니다. 그러면 아이는 ""잘못했어요. 다음부터는 안 그럴게요"" 하고
말하면서 펑펑 웁니다.
처음에는 아이의 눈물에 깜빡 속아 넘어갔습니다. 어찌나 구슬프게 우는
지 그런 아이가 안돼 보이기도 합니다. 그래서 ""엄만 우리 호영이 정말 믿어."
18,"지 그런 아이가 안돼 보이기도 합니다. 그래서 ""엄만 우리 호영이 정말 믿어.
앞으로는 거짓말 안 할 거지?"" 하며 위로와 격려를 아끼지 않았습니다. 하지
만 언제부터인가 아이의 눈물이 진심이 아닐지도 모른다는 의심이 들기 시
작했습니다. 진심으로 반성을 했다면 두 번 다시 거짓말을 하지 않아야 하는
데, 날이 갈수록 아이의 거짓말은 늘어만 가는 것입니다.
이렇게 아이가 거짓말을 한 뒤 크게 혼나지 않고 빨리 상황을 수습하려고
•거짓 눈물을 흘릴 때는 감정코칭을 해서는 안 됩니다. 거짓 감정을 공감해줄
필요는 없습니다. 오히려 아이의 감정이 진심이 아닌 꾸민 감정임을 알고 있
다는 점을 분명히 해야 합니다.
""네가 지금 혼나지 않으려고 억지로 우는 것 다 알아. 그래서 엄마는 실망
했어. 거짓말한 것만도 엄마가 힘든데, 거짓으로 울기까지 하니 엄ㄷ
고 속상하다.""
이때 중요한 것은 엄마가 나-전달법'으로 엄마의 솔직한 감정을 말하"
19,"고 속상하다.""
이때 중요한 것은 엄마가 나-전달법'으로 엄마의 솔직한 감정을 말하
는 것입니다. 반대로 '너-전달법'으로 꾸지람을 한다면 아이는 더욱 방어
적으로 거짓말을 하거나 반박을 하려 들 것입니다. 예를 들어 너 또 거짓말
하지?, 넌 어째 속이 빤히 보이는 거짓말을 그리도 천연덕스럽게 잘 하
니?, 너 이렇게 연극으로 우는 게 벌써 몇 번째냐? 라고 말한다면 역효과
와 악순환을 자초할 수밖에 없습니다. 엄마가 아이의 거짓 감정을 알고 있
고 이에 대한 엄마의 생각이나 느낌을 나-전달법'으로 전하면 아이는 잠
시 당황할 수 있지만, 부모가 진솔하게 속상한 감정을 전달하면 이내 부모
의 진심을 느낄 수 있습니다. 그러면서 더 이상 거짓 감정으로 상황을 모면
할 수도 없고, 거짓으로 감정을 꾸며대는 일이 나쁘다는 것도 깨닫습니다.
그래서 아이가 진심으로 반성하고 잘못했다고 하면 그때는 감정코칭을 제
대로 해야 합니다."
20,"그래서 아이가 진심으로 반성하고 잘못했다고 하면 그때는 감정코칭을 제
대로 해야 합니다.
""울지 않으면 엄마가 더 혼낼까 봐 일부러 우는 척했구나. 이제라도 솔직
하게 얘기해줘서 엄마는 정말 고맙구나.”
감정을 읽어주면서 '정직의 중요성'과 거짓말을 하는 것보다 거짓말하
고도 반성하지 않는 것이 더 나쁜 것'이라는 점을 강조하면 아이는 달라질
수 있습니다.
228 내 아이를 위한 감정코칭
PART 4 아이와 교감하는 감정코칭 5단계 229
EMOTION COACHING
첫돌 전 아이,
눈 맞추고 감정도 나눈다
아이는 엄마 뱃속에서 세상으로 나오는 순간부터 예전에는 경험하지 못했
던 낯선 느낌을 경험합니다. 엄마 뱃속에 있을 때와 같은 따뜻한 느낌에 편
안해하고, 뭔지 모를 낯선 느낌에 불안해하기도 하고, 기저귀가 축축하면 불
쾌감에 울음을 터트리기도 합니다.
아이가 새로운 세상을 만나 알아가는 과정은 곧 낯설고 새로운 감정을 알"
21,"아이가 새로운 세상을 만나 알아가는 과정은 곧 낯설고 새로운 감정을 알
아가는 과정이나 마찬가지입니다. 새로운 감정을 어떻게 만나느냐에 따라
아이의 두뇌 회로가 다르게 연결됩니다. 예를 들어 종일 엄마와 지낼 때는
편하다가 밤늦게 남자 소리가 들리고(청각), 술 냄새가 나며(후각), 엄마가 두
려움에 떨면서 아기를 꽉 안고(촉각), 그 옆에 술에 잔뜩 취해서 엄마를 때리
는 아빠의 얼굴이 보인다면(시각) 어떨까요. 아이의 두뇌 회로 속에 아빠, 남
자의 음성, 술 냄새, 큰소리, 엄마의 울음 등이 청각-후각-촉각-시각을 자
극하고 이것이 부정적인 감정(공포와 불안)과 연결됩니다. 이후 이런 감각 정
보 중 어느 한 가지라도 들어오면, 예를 들어 아빠의 얼굴만 보아도 아기는
연상 회로가 작동해 공포와 불안을 느끼게 됩니다.
반대로 종일 엄마와 잘 지내다가 저녁 때 아빠가 들어와 반갑게 아이를
안아주었다면 상황은 달라집니다. 엄마와는 다른 목소리(청각), 좀 더 크고"
22,"안아주었다면 상황은 달라집니다. 엄마와는 다른 목소리(청각), 좀 더 크고
높게 안아주는 손길(촉각), 아빠의 냄새(후각), 아빠의 웃는 얼굴(시각) 등을 통
해 아이의 감각 회로들은 전자와는 전혀 다르게 연결되고 배치됩니다. 아이
는 아빠의 발걸음 소리만 들어도 벌써 방긋 웃으며 기대감에 벅찰 것입니다.
이처럼 새로운 감정을 잘 만난 아이에게 세상은 밝고 믿을 만한 곳이 되
며, 그렇지 않으면 불안하고 두려운 곳이 됩니다. 아이가 밝고 믿을 만한 세
상을 만날 수 있게 도와주는 것이 부모의 역할입니다.
생후 0~3개월, 부모와 감정적 유대감 형성하기
아기는 출생 때 이미 생명 유지에 필요한 뇌인 뇌간이 완성되어 태어납니다.
그래서 태어나자마자 숨도 쉬고, 젖도 빨고, 체온 조절과 수면 조절 등을 할
수 있습니다. 그런데 이 뇌간이라는 부위는 그 구조와 기능이 파충류와 거의
비슷해 일명 파충류의 뇌' 라고도 부른다고 앞에서 설명했습니다. 신생아의"
23,"비슷해 일명 파충류의 뇌' 라고도 부른다고 앞에서 설명했습니다. 신생아의
경우 생명을 유지하는 데 필요한 기능을 담당하는 '생명의 뇌' 또는 파충류
의 뇌'는 완성되어 있지만, 감정을 알고 조절하는 감정의 뇌'는 미개척지나
다름없습니다.
그렇다고 신생아가 감정이 없다는 말은 아닙니다. 비록 초보적인 수준의
232 내 아이를 위한 감정코칭
PART 5 성장 시기에 따라 아이를 대하는 방법도 달라야 한다 233
감정코칭 놀이 POINT
신생아의
놀라운 능력
아기의 감각을 키우는 데는
아빠의 긍정적인 육아 참여가 중요하다
1근 신생아에 대한 연구가 활발해지면서 비록 아직 말도 못하고 혼자 돌아다
조를 수도 없지만 아기의 능력은 매우 놀라운 수준이라는 것이 밝혀졌습니다.
실제로 신생아는 시시각각 세상과 연결하면서 어마어마한 양의 정보를 받아들이고
학습을 합니다. 이에 대한 몇 가지 정보만 보아도 왜 신생아 때부터 감정코칭을 해
야 하는지가 분명해집니다."
24,"야 하는지가 분명해집니다.
태어나는 순간부터 아기는 감각을 통해 세상을 접합니다. 특히 아기의 중추신경계
에서 숨쉬고, 빨고, 삼키는 감각이 가장 활동적입니다. 첫 3개월 동안 아기는 촉각, 미
각, 후각, 시각, 청각, 평형감각 등을 통해 정보를 입수하기 때문에 감각이 아주 민감
합니다. 아기는 혀와 잇몸의 촉각을 통해 주변에 대한 정보를 입수합니다. 그래서 뭐
든지 입에 대고 빨아봅니다.
아기의 감각은 머리부터 발끝으로 발달하며, 만 5세에도 손보다는 얼굴과 입이 더
감각적으로 예민합니다. 아기의 미각은 수정 후 8주부터 형성되기 시작하며, 후각은
임신 28주에 이미 엄마가 먹고 마시며 흡입하는 것을 감지할 수 있을 정도로 발달합니
다. 출생 직후에도 단맛, 신맛, 쓴맛을 구분합니다. 생후 열흘 된 아기도 자기 엄마의
가슴 패드에서 나는 냄새를 다른 엄마의 것에서 나는 냄새와 구분할 수 있으며, 엄마
의 피부와 모유 냄새를 더 선호합니다."
25,"의 피부와 모유 냄새를 더 선호합니다.
미국의 발달심리학자 앤드류 멜조프Andrew Meltzoff에 따르면, 신생아의 시력은
25~30센티미터 정도의 앞만 볼 수 있을 만큼 시야가 매우 한정되어 있다고 합니
다. 이 거리는 대개 품에 안은 양육자의 얼굴과 아기의 눈 사이 정도입니다. 신생아
는 색깔이 화려한 것보다 흑백을, 정지된 것보다 움직이는 물체를 선호합니다. 생
후 일주일밖에 안 된 아기도 사물보다 사람의 얼굴, 그중에서도 특히 엄마의 얼굴
을 가장 선호하는 것으로 알려져 있습니다. 아기는 아직 눈, 코, 입 등 얼굴의 중심
부보다 턱선, 이마, 머리, 귀 등 윤곽에 시선을 더 두면서 형체 파악을 하는 것으로
보입니다.
아기가 엄마 뱃속에 있을 때 엄마를 비롯하여 가족의 목소리를 들었다면 출생 직후
바로 엄마의 음성을 인식하고 며칠 안에 아빠와 형제자매의 음성도 인식할 수 있습니
다. 하지만 다른 감각에 비해 청각은 거북이처럼 아주 느리게 발달되고, 특히 언어인"
26,"다. 하지만 다른 감각에 비해 청각은 거북이처럼 아주 느리게 발달되고, 특히 언어인
식은 매우 더딘 편입니다. 언어보다 음악(멜로디)을 쉽게 알아듣습니다. 그렇더라도
어른들처럼 배경 소리와 주요 소리 정보를 분리하지는 못합니다. 따라서 아기와 대화
할 때는 텔레비전, 라디오, 음악을 끄고 눈을 맞추며 1대 1로 하는 것이 좋습니다. 아
기를 달랠 때는 반복적이며 편안함을 주는 리듬과 멜로디의 노래가 말보다 효과적입
니다.
어른보다 아기에게 민감한 감각이 전정기관의 평형감각입니다. 아기의 움직임을
발달시키기 위해서는 안아주고 업어주며 흔들어주는 등 전정기관의 자극이 절대적
으로 필요합니다. 이렇게 감각을 통해 세상과 접하는 아기의 놀라운 능력을 볼 때,
엄마 혼자 아기를 키우는 것은 아기의 욕구를 충족시켜주기에 역부족입니다. 아빠
의 참여가 매우 중요합니다.
아빠가 참여했을 때와 아닐 때, 또한 긍정적인 참여와 부정적인 참여에 따라 아기"
27,"아빠가 참여했을 때와 아닐 때, 또한 긍정적인 참여와 부정적인 참여에 따라 아기
의 성장에 지대한 영향을 미칩니다. 아빠가 긍정적으로 참여하면 효과가 몇 배 이상
커지지만 아빠가 무섭게 야단치고 통제하고 벌주는 형태로 육아에 참여한다면, 엄
마 혼자서 육아를 담당했을 때보다 훨씬 좋지 않은 결과를 보입니다.
234 내아이를 위한 감성보상
감정이지만 신생아도 분명 감정이 있습니다. 생후 8시간밖에 안 된 아기도
암모니아 냄새를 맡게 하면 얼굴을 찌푸리고 고개를 돌리면서 혐오감을 나
타냅니다. 갓난아기도 웃거나 우는 등 좋고 싫은 감정을 표현합니다. 따라서
감정코칭은 신생아 때부터 할 수 있습니다. 아기는 감정으로 자신의 욕구와
상태를 시시각각 표현하면서 점차 감정의 분화를 겪습니다. 아기가 감정을
보일 때 바로 반응하고 대응해주면 감정의 뇌도 잘 발달하며, 부모와의 감정
적 유대감도 생기기 시작합니다."
